structure_id,relative_cif_path,atom_count,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,pbc_x,pbc_y,pbc_z,count_C,count_H,count_O,unique_elements
L200_D0_U180,r200/t0/t0_180.cif,156,18.734472187746572,18.525796012162957,27.29435039462192,90.79601559870301,96.10773031533554,85.02667706714749,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U200,r200/t0/t0_200.cif,156,18.699765802375207,18.49634036645489,27.381326082806375,88.96652840852168,95.28392125583075,84.51664868457013,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U220,r200/t0/t0_220.cif,156,18.704422150623127,18.408811124710738,27.46729778118286,89.22993947368882,94.34200298453871,84.41527907358468,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U240,r200/t0/t0_240.cif,156,18.740107431155025,18.628202060058943,27.16382926522081,88.79834135372153,96.04493800655372,84.60884951512843,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U260,r200/t0/t0_260.cif,156,18.774647666593278,18.254734967857285,27.562840631211113,89.74065874764634,93.62121378564593,84.50166116018197,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U280,r200/t0/t0_280.cif,156,18.761045990954262,18.305220115471784,27.478961639771732,89.50401094836796,92.86413047991131,84.68001597062992,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U300,r200/t0/t0_300.cif,156,18.865536582669908,18.883425329869652,26.48355134749662,88.25906470645899,86.97169935806154,85.0899767794546,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U320,r200/t0/t0_320.cif,156,18.975113519806875,19.000407055485447,26.202405331704874,87.81898055086128,85.08484026983817,85.9473572083821,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U340,r200/t0/t0_340.cif,156,18.6901995942739,18.60381685460496,27.188156397564715,88.9056406294846,84.97616521114256,85.21290938415274,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U0,r200/t1.2/t1.2_0.cif,156,18.771145662820345,18.495668159151343,27.141207656306293,88.53661497948447,90.2157872683052,84.98681048231158,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U20,r200/t1.2/t1.2_20.cif,156,18.69201206426969,18.27945497458343,27.599394376656207,88.90282229846868,92.17601958358796,84.90631709450781,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U40,r200/t1.2/t1.2_40.cif,156,18.703291393625097,17.926408738340026,28.140119098395445,89.77764416636916,92.58161079910599,84.63599457857349,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U60,r200/t1.2/t1.2_60.cif,156,18.718735881875993,18.030457310539855,27.96277772994128,91.11745430704079,92.71264688265545,84.57290323288662,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U80,r200/t1.2/t1.2_80.cif,156,18.689921459451345,17.915611750481062,28.187287762720434,90.95671615976545,92.25969119095822,84.31314233242327,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U100,r200/t1.2/t1.2_100.cif,156,18.660196033404315,18.01796825919933,28.05612962345177,90.25417788465086,92.96604411624038,84.94611805825222,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U120,r200/t1.2/t1.2_120.cif,156,18.666624522623838,17.96167074133091,28.177615767235586,89.61499884174485,94.76121375320662,85.40146102972372,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U140,r200/t1.2/t1.2_140.cif,156,18.734596679583174,18.14215152669341,27.772823521574193,89.60414850986437,93.67244205924467,85.00822951228393,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U160,r200/t1.2/t1.2_160.cif,156,18.70441890152661,17.64782409483694,28.61119381643718,90.01242909402632,93.60550785847083,84.60533924256988,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U180,r200/t1.2/t1.2_180.cif,156,18.70175105302102,18.387127883755255,27.79283210603514,91.4062532090809,99.93275624345031,85.45560618483188,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U200,r200/t1.2/t1.2_200.cif,156,18.68508052296252,18.442867712392594,27.63744253903172,89.25159039076242,97.91904964701119,84.33662330397604,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U220,r200/t1.2/t1.2_220.cif,156,18.684167561591337,18.28214346813855,27.868830633534568,91.56977524619084,98.20993207275917,84.90175894290269,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U240,r200/t1.2/t1.2_240.cif,156,18.704784870009593,18.232357181913034,27.710487010411697,91.0838112381341,94.91496973648341,85.34909215529322,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U260,r200/t1.2/t1.2_260.cif,156,18.70700826239189,18.459393080972596,27.311904027516984,90.18544267516047,92.73435957507462,84.92946791247643,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U280,r200/t1.2/t1.2_280.cif,156,18.78621239776651,18.298626258400652,27.446725501000614,90.99094970139424,93.24562359589603,85.02150991985683,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U300,r200/t1.2/t1.2_300.cif,156,18.94846203095202,18.60307903581062,26.713269987917926,89.39330226317428,90.86649874881823,85.35334033770096,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U320,r200/t1.2/t1.2_320.cif,156,18.95982268462489,18.569876876264473,26.75863517828641,87.39088940416994,90.81809121654466,85.72051053481968,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D1.2_U340,r200/t1.2/t1.2_340.cif,156,18.86532174817379,18.874672731779842,26.50500240193436,87.6983426058654,91.67356939540336,84.63516928717551,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U0,r200/t2.4/t2.4_0.cif,156,18.708142171123605,18.38657594715263,27.441445931582088,89.60996411161528,92.90551224011682,84.54094284253948,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U20,r200/t2.4/t2.4_20.cif,156,18.71134339860697,18.491762720756835,27.272996057381842,88.86937815861765,93.03048206781591,84.93116148425828,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U40,r200/t2.4/t2.4_40.cif,156,18.756054593451776,18.24879343076409,27.577858801767146,88.6531532909579,92.67412824736411,84.62138958206407,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U60,r200/t2.4/t2.4_60.cif,156,18.74081431627487,18.10229473261246,27.8615758617548,89.80786677115266,93.59072119991423,84.13731383534044,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U80,r200/t2.4/t2.4_80.cif,156,18.75083536273862,18.137388546765308,27.803327855341216,90.85525440987371,94.50704748096018,84.5622206985869,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U100,r200/t2.4/t2.4_100.cif,156,18.726980554408833,18.434836170037013,27.37267353010622,91.21568249997502,93.4024529903276,84.19716148000468,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U120,r200/t2.4/t2.4_120.cif,156,18.67862228376894,18.26881693662042,27.648207201891285,89.66026031484198,92.62602871098356,84.69059958323972,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U140,r200/t2.4/t2.4_140.cif,156,18.728952787406968,18.215505141273436,27.6436945437086,89.50209856774471,92.78526408545065,85.04641148142727,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U160,r200/t2.4/t2.4_160.cif,156,18.738315189203636,17.728839799842934,28.422081813274826,89.1412665020734,92.48781914791014,84.23900085473488,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U180,r200/t2.4/t2.4_180.cif,156,18.729528141220452,17.587951609487355,28.653635774952598,90.80662452511883,92.86675827106647,84.52879877936277,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U200,r200/t2.4/t2.4_200.cif,156,18.677465421206108,17.79690664830316,28.377717936082572,90.86758919087954,93.87479086687297,85.65828576939515,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D2.4_U220,r200/t2.4/t2.4_220.cif,156,18.760778429867305,18.75396806074326,26.82591636120772,87.92011347837969,92.57908863914513,84.89502840475807,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
