structure_id,relative_cif_path,atom_count,lower_atom_count,upper_atom_count,count_C,count_H,count_O,lower_count_C,lower_count_H,lower_count_O,upper_count_C,upper_count_H,upper_count_O,lower_centroid_x,lower_centroid_y,lower_centroid_z,upper_centroid_x,upper_centroid_y,upper_centroid_z,lower_com_x,lower_com_y,lower_com_z,upper_com_x,upper_com_y,upper_com_z,centroid_separation,com_separation,lower_intralayer_dist_count,lower_intralayer_dist_mean,lower_intralayer_dist_std,lower_intralayer_dist_min,lower_intralayer_dist_max,upper_intralayer_dist_count,upper_intralayer_dist_mean,upper_intralayer_dist_std,upper_intralayer_dist_min,upper_intralayer_dist_max,interlayer_dist_count,interlayer_dist_mean,interlayer_dist_std,interlayer_dist_min,interlayer_dist_max,nn_mean,nn_std,nn_min,nn_max,lower_nn_mean,lower_nn_std,lower_nn_min,lower_nn_max,upper_nn_mean,upper_nn_std,upper_nn_min,upper_nn_max
L340_D6_U100,r340/t6.0/t6.0_100.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.572469061806059,5.797553585943276,4.835614644694892,8.886389514149174,5.312826932422575,11.598594628704337,9.449465961780476,5.782396869123016,4.756910523217128,9.38928107852308,5.233156970514153,11.606872376928786,6.814951455326652,6.872209548878835,3003,7.205816829903585,3.8824691389035353,0.9769074704692402,18.13879816113576,3003,7.343440579255495,4.008579593451529,0.9775627443145314,18.88463777465024,6084,10.124555380266312,3.3992474105827166,1.9211399717617503,21.296835542844242,1.1455167458371391,0.2046545950014463,0.9769074704692402,2.469615986603726,1.1352211348173482,0.16776692657276832,0.9769074704692402,2.0204228838311824,1.1558123568569303,0.23539172807513378,0.9775627443145314,2.469615986603726
L340_D6_U120,r340/t6.0/t6.0_120.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.504372403189103,5.5675054977703935,4.922803699821555,8.71393684770368,4.860395639259074,12.057903724985353,9.381302085465551,5.556822127973068,4.8441332134199895,9.216588593899377,4.783721574175914,12.088565149454507,7.213490492713765,7.287428152402067,3003,7.191328421827626,3.8671096128802867,0.9770491381628579,18.10267423588633,3003,7.342698179809654,3.9994562410467243,0.9779397164646519,18.791208344784287,6084,10.393519069711985,3.379939899495104,1.9770881687669863,21.84746506647903,1.1453149227874455,0.20402434191055308,0.9770491381628579,2.468830364431824,1.1349525863484387,0.1666242822844427,0.9770491381628579,2.0061797086394844,1.1556772592264521,0.2351030767648789,0.9779397164646519,2.468830364431824
L340_D6_U140,r340/t6.0/t6.0_140.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.425332190785296,5.711909170918975,4.322341657310686,8.021520449889623,4.628407518046969,12.046957547098339,9.296277122543932,5.698083994790267,4.241087722436504,8.37872139567706,4.552322801254274,12.124174750564544,7.92555069887341,8.018587052440086,3003,7.200280613316574,3.8755347463678524,0.9773140937268314,18.136635965554458,3003,7.363629320060336,4.004635469025603,0.9775610971216586,18.927341971866664,6084,10.88230942801592,3.4745750732770104,1.7864079132873143,22.866075658265377,1.1472772393050792,0.20297734376394264,0.9773140937268314,2.2098443818090536,1.1352573821972125,0.16847450838971972,0.9773140937268314,2.0348086581014098,1.1592970964129456,0.23179083298522976,0.9775610971216586,2.2098443818090536
L340_D6_U160,r340/t6.0/t6.0_160.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.457875505450632,5.544745282181007,4.845124871253773,7.997556604375634,4.291789370395661,13.31358111546434,9.334325244216805,5.539128950642027,4.764285512185858,7.998793967558955,4.255264269615468,13.388263737677848,8.684306591192165,8.820711578091574,3003,7.201933427346985,3.8750323747429642,0.9776723558514087,18.144183399190705,3003,7.3112020491333,3.973594452090322,0.9764784666377158,18.78761393156682,6084,11.417075113270014,3.50119885963664,2.6456868418033492,22.98988045192774,1.1366991824710442,0.19138168669833514,0.9764784666377158,2.6340929467050005,1.1351552339814353,0.1665975172766754,0.9776723558514087,2.006622379724027,1.1382431309606527,0.21329416234480056,0.9764784666377158,2.6340929467050005
L340_D6_U180,r340/t6.0/t6.0_180.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.459223877283158,5.575303567691612,4.825250287816822,7.867076288730823,4.049987152064885,13.87609114267988,9.333377460180154,5.565497675403167,4.743800514046007,7.865907776876306,4.041670940947055,13.957456432699844,9.31553778863956,9.453410526122516,3003,7.201149397097645,3.8783409142613827,0.977552927118194,18.145358490934456,3003,7.31379165680068,3.97517809301918,0.9773422742453495,18.77439399412891,6084,11.89970049646473,3.5212474973782153,2.369426038053247,23.46480732922941,1.136802041947365,0.1918239062322946,0.9773422742453495,2.6313435516204264,1.1353145457645748,0.16797171568046493,0.977552927118194,2.0266268812628296,1.1382895381301557,0.21301150073647598,0.9773422742453495,2.6313435516204264
L340_D6_U20,r340/t6.0/t6.0_20.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.657487025791385,5.672969523455752,4.845013422346166,9.209322600094671,4.513785323937912,13.548814932100287,9.531729607546087,5.666005595647475,4.7649347425288875,9.70660051991988,4.49323531534649,13.470145609595185,8.792082806825126,8.785594243216613,3003,7.196437172938456,3.8676902578660823,0.9775049811807934,18.116530231383308,3003,7.340345506942667,4.001082734144335,0.9771001467306262,18.833486347168474,6084,11.53323568078839,3.42459511668541,2.4038850968164076,21.713900789721563,1.1449695633531802,0.203954046337377,0.9771001467306262,2.480035096470967,1.1347098315954043,0.16490854465545537,0.9775049811807934,1.980854144389851,1.1552292951109555,0.23619727717083128,0.9771001467306262,2.480035096470967
L340_D6_U200,r340/t6.0/t6.0_200.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.325996773038536,5.905963017229402,5.753645369292516,7.367191012619606,4.5451534324092675,13.586032551258114,9.200085404834203,5.891371125839101,5.67117704081535,7.36592944257493,4.5680245276687375,13.663128188409631,8.187491172600293,8.305820697457529,3003,7.204299681296763,3.8813945746160075,0.9772066142196087,18.13336382164287,3003,7.310708537336347,3.9749112147094228,0.9773408628297633,18.822047374432213,6084,11.004226080927207,3.6298243042536686,2.373734332741622,23.258640018558435,1.1368975924915958,0.19261669413165242,0.9772066142196087,2.6426636973767845,1.1355886824404122,0.1683811260833391,0.9772066142196087,2.0297095568506607,1.1382065025427792,0.2141185456803674,0.9773408628297633,2.6426636973767845
L340_D6_U220,r340/t6.0/t6.0_220.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.418777937188676,5.773954468862396,5.273895740332345,7.965078542380841,4.671152161001703,12.97754971804021,9.292385937871563,5.76247207015534,5.193135759158711,8.091810578358263,4.716127802534702,13.045171408638996,7.916798561851991,8.011908721457225,3003,7.2060138604260855,3.8814836742781567,0.9773140256335199,18.143239754865522,3003,7.339063701922899,3.9971582349448127,0.9774704235398556,18.77833610512302,6084,10.845692058017205,3.5475875905991847,2.5582817785450356,22.843610729850482,1.1433860682584054,0.19390796767269664,0.9773140256335199,2.2108368280334623,1.135453924330078,0.16805234853561127,0.9773140256335199,2.027723183880003,1.1513182121867327,0.2164097275793701,0.9774704235398556,2.2108368280334623
L340_D6_U240,r340/t6.0/t6.0_240.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.538295649703743,5.46824457630451,5.401065249907127,8.962093153333974,4.4171515956007195,12.774449488026445,9.411950391103524,5.460295734980071,5.322166643720363,9.256822917998141,4.480663241558722,12.823219173950392,7.470180780533623,7.566342142432451,3003,7.207875262286402,3.8818540464876214,0.9771038512078143,18.152144100867808,3003,7.356948267131239,4.0254297606157134,0.9774666550739548,18.872619099122694,6084,10.568825917157897,3.4494316793059085,2.311076773076741,21.990757171462565,1.1377751512612666,0.2005964328087187,0.9771038512078143,2.8015673642488195,1.1354021373474075,0.16777735808044927,0.9771038512078143,2.023391030793935,1.1401481651751262,0.2287298700140398,0.9774666550739548,2.8015673642488195
L340_D6_U260,r340/t6.0/t6.0_260.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.520126063824485,5.477906684541521,4.896839871304816,8.995581773813127,4.49461765337854,12.308198315904223,9.396774880619242,5.468561124635211,4.816821828106947,9.291033196866548,4.573276352704347,12.329941920080607,7.49468064865501,7.5670132577492195,3003,7.206806510206245,3.8822139385342376,0.9773881557941732,18.15344112161051,3003,7.353573703831484,4.025911141091236,0.9773339479086551,18.85878161215046,6084,10.60712455607568,3.380146670240504,2.149035486822305,21.660329163675318,1.138076447164261,0.20173777039880633,0.9773339479086551,2.814345818268039,1.1356061464764016,0.16882339944604935,0.9773881557941732,2.0387087845702485,1.1405467478521207,0.2299624122317945,0.9773339479086551,2.814345818268039
L340_D6_U280,r340/t6.0/t6.0_280.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.515098087655485,5.563343171827825,4.8807104407473885,9.15572053090284,4.624650332411191,12.254734072653358,9.39228633020897,5.554754229544367,4.8013599833786,9.450523582566898,4.705010503363377,12.248651878438658,7.442212103869203,7.495839682648861,3003,7.210307489649083,3.881371137122774,0.9774397648798634,18.16178915720073,3003,7.350166997304102,4.023640045663901,0.9772301876307734,18.86775608793855,6084,10.576250896389247,3.3591097934138485,2.2627012836218126,21.052386383060412,1.1379387050720176,0.2010447506956055,0.9772301876307734,2.809283092422863,1.1353135890118484,0.16774116489557053,0.9774397648798634,2.024127022712797,1.1405638211321862,0.229536713175332,0.9772301876307734,2.809283092422863
L340_D6_U300,r340/t6.0/t6.0_300.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.604815847631818,5.627106842179345,4.880461076719139,9.230555214947103,5.098876494183789,12.255475211173117,9.481372574635738,5.622091882871143,4.801241932028098,9.525588212354796,5.17421958658871,12.230258858363944,7.4033730018902215,7.442636435308439,3003,7.220714637198283,3.889957142508257,0.9775730049766058,18.190776337642255,3003,7.352913283616337,4.028957423593401,0.9767701977600933,18.992776891647978,6084,10.55061983094732,3.3758945266132234,2.37780966953458,21.01190107800834,1.1379904390322628,0.20102508655853515,0.9767701977600933,2.8016691115372607,1.1354895531074314,0.16860509187044723,0.9775730049766058,2.034671653088124,1.1404913249570936,0.22887110998610793,0.9767701977600933,2.8016691115372607
L340_D6_U320,r340/t6.0/t6.0_320.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.595729110322974,5.2920926587094534,4.445540978733236,9.204787493363698,4.36238498835496,12.731753569745932,9.47138143316461,5.290707017806347,4.365377594997138,9.500626175112009,4.423102469595172,12.676983654513418,8.347365500781912,8.356816869813292,3003,7.225030002348333,3.895309105937576,0.9775599855198076,18.21224957527936,3003,7.3636310314643145,4.039495011714269,0.9768790784678836,19.00385780015998,6084,11.242259435672612,3.370990854664396,2.229292654059595,21.48708363424159,1.1380196355367074,0.2010367372295602,0.9768790784678836,2.806091764533163,1.1354463430405515,0.16823008957483612,0.9775599855198076,2.0312645097267823,1.1405929280328628,0.2291657320039703,0.9768790784678836,2.806091764533163
L340_D6_U340,r340/t6.0/t6.0_340.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.618165219884537,5.334814440742784,4.4585831583404785,9.292201585961992,4.169967126528156,13.061523694057147,9.493233775038187,5.328181877168087,4.378507176592147,9.58542626632341,4.203830496795986,12.989223360792169,8.687560498618128,8.684301853738054,3003,7.198795833049258,3.872484005013026,0.9774360974309942,18.129676918555266,3003,7.345637536814424,4.012963817089278,0.9767297430993355,18.807489900393232,6084,11.463606704600515,3.4091813744084125,2.470275554196249,21.759564035379295,1.1377433999174567,0.19982359294477725,0.9767297430993355,2.8042718098464015,1.1348810216815741,0.16557193456646788,0.9774360974309942,1.991974942256829,1.1406057781533387,0.2289726723002263,0.9767297430993355,2.8042718098464015
L340_D6_U40,r340/t6.0/t6.0_40.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.565951160359393,5.574799403383766,5.340966679342343,8.892750007323912,4.2653846001307745,13.683169053705809,9.44129591566868,5.566615259974186,5.260486439208988,9.393878544646952,4.220722291959,13.6166558809878,8.471133771477218,8.463996929828445,3003,7.207126215618941,3.876334181454537,0.9774792435163894,18.14290516318526,3003,7.352564328841068,4.015038487858071,0.977461087651548,18.865539987200194,6084,11.309760853488708,3.3977845423797888,2.4240186311532947,21.59022581181703,1.1453156516395862,0.20509196231893437,0.977461087651548,2.4759269216357285,1.1354207414354613,0.16833701797596076,0.9774792435163894,2.0303720388743183,1.155210561843711,0.23578010072677477,0.977461087651548,2.4759269216357285
L340_D6_U60,r340/t6.0/t6.0_60.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.388912213888371,5.707278179865286,5.219247943516992,8.816270429218699,4.53829983687295,12.164004892518367,9.399247301664854,5.7646487354339255,5.140659784429606,9.17946127970901,4.399476399551881,12.120006713807685,7.065697280568823,7.115004213823351,3003,7.312538877600394,3.9440929661277795,0.9772588826038918,19.68042899187369,3003,7.3350142167876,4.006757620816024,0.9773920690965238,18.918616446590413,6084,10.322992293969628,3.4514392372644678,1.0994404085080702,21.087925507576603,1.145478294621213,0.20593089551488264,0.9772588826038918,2.47069558432114,1.1932419628126545,0.3882094059262443,0.9772588826038918,3.4695697260760934,1.1725692442201696,0.2770624182256867,0.9773920690965238,2.464972998430416
L340_D6_U80,r340/t6.0/t6.0_80.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.597204769713874,5.8201931483880065,5.2539733632360885,8.968758485601693,4.775530464992915,11.883179676982756,9.47370199275736,5.805783009850065,5.1739933099258915,9.470591741705187,4.696495333051428,11.868334182863018,6.740373966206276,6.785626614148139,3003,7.222177994481401,3.8911550270627457,0.9770600872891293,18.17500192299256,3003,7.3605491016166535,4.027105981236864,0.9775094582352459,18.872434209123984,6084,10.085369357821119,3.4180992035153506,2.0626546502641383,21.022614909438555,1.1455070692955,0.20499843213940047,0.9770600872891293,2.46897619724398,1.1353824533899881,0.16889009103893482,0.9770600872891293,2.035497598601818,1.155631685201012,0.2352016917745635,0.9775094582352459,2.46897619724398
L340_D7.2_U0,r340/t7.2/t7.2_0.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.772173454058,5.71357591139503,4.847528134239379,9.992889786786899,4.653368424814244,12.935996457188722,9.644895974470096,5.710150750687803,4.766795041300322,9.8241720441464,4.663764125170401,12.8531753792525,8.160641851318449,8.155771689376785,3003,7.206890504417367,3.8775647016856754,0.9775058173811775,18.153063277627062,3003,7.270926873093531,3.939552349039455,0.9776134468770789,19.201572446673705,6084,11.01565353874088,3.4733797496346006,2.619871957932197,22.104329187094994,1.1445157978102691,0.18279156015673548,0.9775058173811775,2.150790830851023,1.1347379928265497,0.16502687183548417,0.9775058173811775,1.9784171617496042,1.1542936027939885,0.19849541445751906,0.9776134468770789,2.150790830851023
L340_D7.2_U100,r340/t7.2/t7.2_100.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.140147769208411,5.764449821647284,4.858508662455438,8.079016926403142,5.195909682622457,11.624148890015098,8.767051468724025,5.748001146750287,4.779350215639566,7.827001938939996,5.116200315286998,11.629245712618225,6.871908340774674,6.942905280112454,3003,7.196670351768924,3.8710210821932125,0.9770906743888538,18.71095253847806,3003,7.293831918553001,3.953568681747304,0.9774376265039744,18.873681518372152,6084,10.138157528398171,3.3727415897400506,2.015303787333902,20.922917445543707,1.1487432276298055,0.20974007189579058,0.9770906743888538,2.637945790093207,1.1342106328563388,0.16579062216650634,0.9770906743888538,2.014314059311806,1.1632758224032722,0.24509767950277694,0.9774376265039744,2.637945790093207
L340_D7.2_U120,r340/t7.2/t7.2_120.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.462825605844243,5.550351682509901,4.803755661719442,8.362701637675052,4.660914603667917,12.203945675312664,9.3385519842319,5.5315193044246485,4.724669431663132,8.319813301131076,4.580616670854185,12.236505734447233,7.534200906522479,7.640008439969314,3003,7.195886137225891,3.871313937434084,0.9771433386473841,18.10624819384359,3003,7.289974337569691,3.949590941023356,0.9776763061828131,19.097326338223155,6084,10.604053836067754,3.3473852425987864,2.0978878483812555,21.42906817655959,1.1394363218816594,0.17516778310112874,0.9771433386473841,2.024694982957049,1.1348690491155433,0.16779295454299767,0.9771433386473841,2.024694982957049,1.1440035946477756,0.18212992318073232,0.9776763061828131,1.9850821899302273
L340_D7.2_U140,r340/t7.2/t7.2_140.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.433282565074618,5.440555815622675,4.923960142264878,8.513017834161849,4.4612540950200605,12.883322967864977,9.311859417892562,5.431879096556742,4.843984261686564,8.343778723191331,4.399499173491187,12.939666143655431,8.072011869694071,8.218458107883805,3003,7.188432543149743,3.8657871735850367,0.9773729349544849,18.098535469902007,3003,7.262862146984689,3.924854251192836,0.9776076664831286,19.045154482386057,6084,10.96728235007485,3.376082590068334,2.3165014651247886,21.87257259638936,1.1445033727593246,0.1828534845947185,0.9773729349544849,2.1559389764536356,1.1351311047935861,0.16704999665867806,0.9773729349544849,2.015233413324307,1.1538756407250632,0.19695028169452913,0.9776076664831286,2.1559389764536356
L340_D7.2_U160,r340/t7.2/t7.2_160.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.463818117164125,5.4019617270825275,4.946633952773505,8.555762250990249,4.226804381414148,13.693770263182172,9.339812233069074,5.399172434020141,4.865888232238164,8.391597943040116,4.188815560377228,13.764068890461457,8.872313896388071,9.030043916159482,3003,7.196697730216882,3.870526410555499,0.9775819708491319,18.130182985907663,3003,7.277177671765097,3.942583604709825,0.977397200770902,19.227191587521165,6084,11.563372256540168,3.431703216425896,2.4642335487609364,22.883866331588727,1.144475289875717,0.1824779692248992,0.977397200770902,2.151857446130098,1.1350487455303122,0.16614647074806763,0.9775819708491319,2.000890062542859,1.1539018342211211,0.1970128150305361,0.977397200770902,2.151857446130098
L340_D7.2_U180,r340/t7.2/t7.2_180.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.409769038495009,5.392501293494675,4.902973100973623,8.14665350984633,3.7249051833432905,14.226456569330168,9.285972645009949,5.384022167370569,4.821210987554989,7.9808365912847705,3.7150660487241387,14.306981122002602,9.555295998032886,9.719497398954278,3003,7.196510485436983,3.8737801932098117,0.9773742115361971,18.12833081487192,3003,7.273390647982681,3.9409926675111793,0.9773851094593485,19.19915084086122,6084,12.083297348113039,3.4706679503329676,2.286336883892267,23.843066575368688,1.144711570341682,0.18379720126634772,0.9773742115361971,2.1517489445551683,1.1352886583436832,0.16739510785259137,0.9773742115361971,2.017166879315427,1.1541344823396806,0.19840392564830944,0.9773851094593485,2.1517489445551683
L340_D7.2_U20,r340/t7.2/t7.2_20.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.645701296466873,5.677462350681349,4.861397912406724,9.058930169015685,4.554426855175543,13.561151299413044,9.518318174300044,5.672101202368963,4.781225177572472,8.88736266053667,4.533106387953485,13.481922744005653,8.791542417284026,8.797587862030708,3003,7.194220123877141,3.8671042414534984,0.9776375771257763,18.108099230984628,3003,7.26037713803083,3.925881370271189,0.9776048033488891,19.075140171119653,6084,11.50323901575435,3.3942349003340913,2.8818715105259143,21.868309897343504,1.1444091223955337,0.18219930272653143,0.9776048033488891,2.155221967879815,1.1345901539460845,0.16455172215832536,0.9776375771257763,1.9758741344917568,1.1542280908449833,0.19779554666365776,0.9776048033488891,2.155221967879815
