structure_id,relative_cif_path,node_count,edge_count,intralayer_edge_count,interlayer_edge_count,distance_cutoff,has_edges,edge_distance_mean,edge_distance_std,edge_distance_min,edge_distance_max,energy,delta_energy,lower_rotation,displacement,upper_rotation,graph_file
L0_D2.4_U40,r0/t2.4/t2.4_40.cif,156,3556,3464,92,4.5,True,3.0407764172209695,0.9022926138923959,0.9773423125542088,4.499118273678769,-936.11422,0.5255799999999908,0.0,2.4,40.0,L0_D2.4_U40.pkl
L0_D2.4_U60,r0/t2.4/t2.4_60.cif,156,3608,3480,128,4.5,True,3.053786873258763,0.905029064519501,0.9773119759940666,4.499184217157356,-936.12096,0.5188400000000684,0.0,2.4,60.0,L0_D2.4_U60.pkl
L0_D2.4_U80,r0/t2.4/t2.4_80.cif,156,3594,3466,128,4.5,True,3.059039243086276,0.908203927351497,0.9774318288538542,4.497023822119072,-936.09407,0.5457300000000487,0.0,2.4,80.0,L0_D2.4_U80.pkl
L0_D3.6_U0,r0/t3.6/t3.6_0.cif,156,3654,3478,176,4.5,True,3.054788001521503,0.8960269295961419,0.9765279723933662,4.4968293385208,-936.17381,0.4659900000000334,0.0,3.6,0.0,L0_D3.6_U0.pkl
L0_D3.6_U100,r0/t3.6/t3.6_100.cif,156,3766,3470,296,4.5,True,3.072437600041538,0.8953959980314196,0.9772419869614651,4.496469454257461,-936.52617,0.1136300000000574,0.0,3.6,100.0,L0_D3.6_U100.pkl
L0_D3.6_U120,r0/t3.6/t3.6_120.cif,156,3716,3456,260,4.5,True,3.0756863490144464,0.9028073459428719,0.9762544015832653,4.499585426330289,-936.34167,0.2981300000000146,0.0,3.6,120.0,L0_D3.6_U120.pkl
L0_D3.6_U140,r0/t3.6/t3.6_140.cif,156,3682,3490,192,4.5,True,3.0706182837394294,0.9038783480514154,0.9762865617292801,4.498982128511888,-936.26287,0.3769300000000157,0.0,3.6,140.0,L0_D3.6_U140.pkl
L0_D3.6_U160,r0/t3.6/t3.6_160.cif,156,3610,3492,118,4.5,True,3.0603887215707326,0.9083221477055121,0.9770146130362695,4.49937861802841,-936.11828,0.5215200000000095,0.0,3.6,160.0,L0_D3.6_U160.pkl
L0_D3.6_U180,r0/t3.6/t3.6_180.cif,156,3562,3488,74,4.5,True,3.045396198593966,0.904557277102597,0.9772619410556986,4.4976072829259195,-936.16428,0.4755200000000741,0.0,3.6,180.0,L0_D3.6_U180.pkl
L0_D3.6_U20,r0/t3.6/t3.6_20.cif,156,3616,3486,130,4.5,True,3.0461041449940303,0.8993635726506765,0.9773162966523257,4.498393667029333,-936.09444,0.5453600000000733,0.0,3.6,20.0,L0_D3.6_U20.pkl
