structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,tsne_1,tsne_2
L0_D8.4_U60,r0/t8.4/t8.4_60.cif,0.0,8.399999618530273,60.0,-936.1660766601562,0.47371000051498413,6.2593613,54.639053
L0_D8.4_U80,r0/t8.4/t8.4_80.cif,0.0,8.399999618530273,80.0,-936.1065673828125,0.5332099795341492,5.4997306,49.611282
L0_D9.6_U0,r0/t9.6/t9.6_0.cif,0.0,9.600000381469727,0.0,-936.4817504882812,0.15803000330924988,-0.041037254,16.288048
L0_D9.6_U100,r0/t9.6/t9.6_100.cif,0.0,9.600000381469727,100.0,-936.1658325195312,0.47398999333381653,44.97779,-10.732296
L0_D9.6_U120,r0/t9.6/t9.6_120.cif,0.0,9.600000381469727,120.0,-936.2399291992188,0.39989998936653137,35.4353,-2.781852
L0_D9.6_U140,r0/t9.6/t9.6_140.cif,0.0,9.600000381469727,140.0,-936.1836547851562,0.45614001154899597,16.810009,3.5349188
L0_D9.6_U160,r0/t9.6/t9.6_160.cif,0.0,9.600000381469727,160.0,-936.1085205078125,0.5312600135803223,-5.5966086,14.060464
L0_D9.6_U180,r0/t9.6/t9.6_180.cif,0.0,9.600000381469727,180.0,-936.0505981445312,0.5892000198364258,-4.5134325,21.73377
L0_D9.6_U20,r0/t9.6/t9.6_20.cif,0.0,9.600000381469727,20.0,-936.2767333984375,0.3630400002002716,-5.3151402,33.483135
L0_D9.6_U200,r0/t9.6/t9.6_200.cif,0.0,9.600000381469727,200.0,-936.0115356445312,0.6282899975776672,4.405992,32.519684
L0_D9.6_U220,r0/t9.6/t9.6_220.cif,0.0,9.600000381469727,220.0,-936.1178588867188,0.5219600200653076,6.0638013,32.763103
L0_D9.6_U240,r0/t9.6/t9.6_240.cif,0.0,9.600000381469727,240.0,-936.3717651367188,0.2680400013923645,33.602077,17.258856
L0_D9.6_U260,r0/t9.6/t9.6_260.cif,0.0,9.600000381469727,260.0,-936.1602172851562,0.4796000123023987,37.29894,13.651442
L0_D9.6_U280,r0/t9.6/t9.6_280.cif,0.0,9.600000381469727,280.0,-936.1768188476562,0.4629800021648407,31.669674,-11.318826
L0_D9.6_U300,r0/t9.6/t9.6_300.cif,0.0,9.600000381469727,300.0,-936.28515625,0.3546200096607208,45.20438,-9.60383
L0_D9.6_U320,r0/t9.6/t9.6_320.cif,0.0,9.600000381469727,320.0,-936.3936767578125,0.2461100071668625,19.973196,6.433795
L0_D9.6_U340,r0/t9.6/t9.6_340.cif,0.0,9.600000381469727,340.0,-936.4857177734375,0.1540900021791458,19.963444,7.428525
L0_D9.6_U40,r0/t9.6/t9.6_40.cif,0.0,9.600000381469727,40.0,-936.173583984375,0.46619001030921936,-0.6491872,56.503746
L0_D9.6_U60,r0/t9.6/t9.6_60.cif,0.0,9.600000381469727,60.0,-936.11865234375,0.5211700201034546,6.1701946,54.58549
L0_D9.6_U80,r0/t9.6/t9.6_80.cif,0.0,9.600000381469727,80.0,-936.0568237304688,0.5829499959945679,5.466061,50.003662
L100_D0_U0,r100/t0/t0_0.cif,100.0,0.0,0.0,-936.25341796875,0.3864000141620636,-21.890863,-25.884203
L100_D0_U100,r100/t0/t0_100.cif,100.0,0.0,100.0,-936.4625854492188,0.17720000445842743,-0.0236657,-49.295807
L100_D0_U120,r100/t0/t0_120.cif,100.0,0.0,120.0,-936.4664306640625,0.17333999276161194,-3.4038699,-24.044132
L100_D0_U140,r100/t0/t0_140.cif,100.0,0.0,140.0,-936.2823486328125,0.3574399948120117,-16.516966,-14.804815
L100_D0_U160,r100/t0/t0_160.cif,100.0,0.0,160.0,-936.203369140625,0.4364599883556366,-14.472756,-26.12107
L100_D0_U180,r100/t0/t0_180.cif,100.0,0.0,180.0,-936.0563354492188,0.5834900140762329,-19.33047,-31.132898
L100_D0_U20,r100/t0/t0_20.cif,100.0,0.0,20.0,-936.1385498046875,0.5012800097465515,-35.40807,-35.671215
L100_D0_U200,r100/t0/t0_200.cif,100.0,0.0,200.0,-937.1156005859375,-0.47582000494003296,32.736244,-46.017334
L100_D0_U220,r100/t0/t0_220.cif,100.0,0.0,220.0,-936.8573608398438,-0.21759000420570374,33.553352,-47.343487
L100_D0_U240,r100/t0/t0_240.cif,100.0,0.0,240.0,-936.9429931640625,-0.30320000648498535,34.201805,-48.652607
