structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,umap_1,umap_2
L0_D9.6_U0,r0/t9.6/t9.6_0.cif,0.0,9.600000381469727,0.0,-936.4817504882812,0.15803000330924988,3.4851274,2.2668235
L0_D9.6_U100,r0/t9.6/t9.6_100.cif,0.0,9.600000381469727,100.0,-936.1658325195312,0.47398999333381653,2.6017263,-1.7550448
L0_D9.6_U120,r0/t9.6/t9.6_120.cif,0.0,9.600000381469727,120.0,-936.2399291992188,0.39989998936653137,3.814492,-1.0073808
L0_D9.6_U140,r0/t9.6/t9.6_140.cif,0.0,9.600000381469727,140.0,-936.1836547851562,0.45614001154899597,3.3702135,1.4231945
L0_D9.6_U160,r0/t9.6/t9.6_160.cif,0.0,9.600000381469727,160.0,-936.1085205078125,0.5312600135803223,3.4659493,2.851781
L0_D9.6_U180,r0/t9.6/t9.6_180.cif,0.0,9.600000381469727,180.0,-936.0505981445312,0.5892000198364258,3.7312624,3.2194088
L0_D9.6_U20,r0/t9.6/t9.6_20.cif,0.0,9.600000381469727,20.0,-936.2767333984375,0.3630400002002716,6.062622,4.001594
L0_D9.6_U200,r0/t9.6/t9.6_200.cif,0.0,9.600000381469727,200.0,-936.0115356445312,0.6282899975776672,6.778406,2.0459516
L0_D9.6_U220,r0/t9.6/t9.6_220.cif,0.0,9.600000381469727,220.0,-936.1178588867188,0.5219600200653076,6.8095226,1.8460488
L0_D9.6_U240,r0/t9.6/t9.6_240.cif,0.0,9.600000381469727,240.0,-936.3717651367188,0.2680400013923645,3.8821862,-2.819154
L0_D9.6_U260,r0/t9.6/t9.6_260.cif,0.0,9.600000381469727,260.0,-936.1602172851562,0.4796000123023987,3.6003428,-2.9920022
L0_D9.6_U280,r0/t9.6/t9.6_280.cif,0.0,9.600000381469727,280.0,-936.1768188476562,0.4629800021648407,-0.28432912,-3.4270985
L0_D9.6_U300,r0/t9.6/t9.6_300.cif,0.0,9.600000381469727,300.0,-936.28515625,0.3546200096607208,2.6305943,-1.7153423
L0_D9.6_U320,r0/t9.6/t9.6_320.cif,0.0,9.600000381469727,320.0,-936.3936767578125,0.2461100071668625,3.5208917,1.0794944
L0_D9.6_U340,r0/t9.6/t9.6_340.cif,0.0,9.600000381469727,340.0,-936.4857177734375,0.1540900021791458,3.6191745,1.237478
L0_D9.6_U40,r0/t9.6/t9.6_40.cif,0.0,9.600000381469727,40.0,-936.173583984375,0.46619001030921936,6.518515,4.580574
L0_D9.6_U60,r0/t9.6/t9.6_60.cif,0.0,9.600000381469727,60.0,-936.11865234375,0.5211700201034546,6.175762,6.2467885
L0_D9.6_U80,r0/t9.6/t9.6_80.cif,0.0,9.600000381469727,80.0,-936.0568237304688,0.5829499959945679,6.108806,5.9510155
L100_D0_U0,r100/t0/t0_0.cif,100.0,0.0,0.0,-936.25341796875,0.3864000141620636,-1.2414925,3.5072403
L100_D0_U100,r100/t0/t0_100.cif,100.0,0.0,100.0,-936.4625854492188,0.17720000445842743,-3.8272574,1.1083328
L100_D0_U120,r100/t0/t0_120.cif,100.0,0.0,120.0,-936.4664306640625,0.17333999276161194,-0.47709528,2.041132
L100_D0_U140,r100/t0/t0_140.cif,100.0,0.0,140.0,-936.2823486328125,0.3574399948120117,0.8175247,2.4205613
L100_D0_U160,r100/t0/t0_160.cif,100.0,0.0,160.0,-936.203369140625,0.4364599883556366,-0.55882186,2.1954176
L100_D0_U180,r100/t0/t0_180.cif,100.0,0.0,180.0,-936.0563354492188,0.5834900140762329,-1.4074686,2.9987059
L100_D0_U20,r100/t0/t0_20.cif,100.0,0.0,20.0,-936.1385498046875,0.5012800097465515,-3.8414402,4.2214212
L100_D0_U200,r100/t0/t0_200.cif,100.0,0.0,200.0,-937.1156005859375,-0.47582000494003296,-3.9407709,-1.7192441
L100_D0_U220,r100/t0/t0_220.cif,100.0,0.0,220.0,-936.8573608398438,-0.21759000420570374,-4.008425,-1.6160226
L100_D0_U240,r100/t0/t0_240.cif,100.0,0.0,240.0,-936.9429931640625,-0.30320000648498535,-4.0855775,-1.5432271
L100_D0_U260,r100/t0/t0_260.cif,100.0,0.0,260.0,-936.6248168945312,0.014999999664723873,-4.908289,-0.12223135
L100_D0_U280,r100/t0/t0_280.cif,100.0,0.0,280.0,-936.4786987304688,0.16112999618053436,-4.6464114,1.1390212
L100_D0_U300,r100/t0/t0_300.cif,100.0,0.0,300.0,-936.2449340820312,0.3948400020599365,-0.38496786,2.3590178
L100_D0_U320,r100/t0/t0_320.cif,100.0,0.0,320.0,-936.2393188476562,0.4005100131034851,-0.5380237,2.8592513
L100_D0_U340,r100/t0/t0_340.cif,100.0,0.0,340.0,-936.2039184570312,0.4359000027179718,-0.4849289,2.9254234
L100_D0_U40,r100/t0/t0_40.cif,100.0,0.0,40.0,-936.1392211914062,0.5005699992179871,-4.368991,3.8551433
L100_D0_U60,r100/t0/t0_60.cif,100.0,0.0,60.0,-936.4083251953125,0.23146000504493713,-3.6623554,-1.9291699
L100_D0_U80,r100/t0/t0_80.cif,100.0,0.0,80.0,-936.43896484375,0.20085999369621277,-4.7762523,1.4984175
L100_D1.2_U0,r100/t1.2/t1.2_0.cif,100.0,1.2000000476837158,0.0,-936.240234375,0.3995400071144104,-1.2174428,3.499096
L100_D1.2_U100,r100/t1.2/t1.2_100.cif,100.0,1.2000000476837158,100.0,-936.4295654296875,0.21026000380516052,-3.8878896,1.0930719
L100_D1.2_U120,r100/t1.2/t1.2_120.cif,100.0,1.2000000476837158,120.0,-936.3609619140625,0.2788600027561188,-0.36882842,2.00815
L100_D1.2_U140,r100/t1.2/t1.2_140.cif,100.0,1.2000000476837158,140.0,-936.1817016601562,0.458079993724823,0.8244723,2.4232485
L100_D1.2_U160,r100/t1.2/t1.2_160.cif,100.0,1.2000000476837158,160.0,-936.147216796875,0.49257001280784607,-1.0332336,2.6145191
L100_D1.2_U180,r100/t1.2/t1.2_180.cif,100.0,1.2000000476837158,180.0,-936.0634155273438,0.5763900279998779,-1.0710974,4.238852
L100_D1.2_U20,r100/t1.2/t1.2_20.cif,100.0,1.2000000476837158,20.0,-936.2007446289062,0.4390699863433838,-3.9424222,4.1570897
L100_D1.2_U200,r100/t1.2/t1.2_200.cif,100.0,1.2000000476837158,200.0,-936.9808349609375,-0.3410399854183197,-3.8987763,-1.7126327
