structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,pca_1,pca_2
L0_D3.6_U20,r0/t3.6/t3.6_20.cif,0.0,3.5999999046325684,20.0,-936.0944213867188,0.5453600287437439,-0.9843808757023316,1.384088131875877
L0_D3.6_U200,r0/t3.6/t3.6_200.cif,0.0,3.5999999046325684,200.0,-936.279052734375,0.3607400059700012,-2.5086350550642518,1.046970641851499
L0_D3.6_U220,r0/t3.6/t3.6_220.cif,0.0,3.5999999046325684,220.0,-936.6455688476562,-0.005760000087320805,-1.0115656620796933,-1.1334495940698597
L0_D3.6_U240,r0/t3.6/t3.6_240.cif,0.0,3.5999999046325684,240.0,-936.7133178710938,-0.07350999861955643,-0.6375691275932236,0.2841472834633124
L0_D3.6_U260,r0/t3.6/t3.6_260.cif,0.0,3.5999999046325684,260.0,-936.5264892578125,0.11331000179052353,0.37309168395232173,-0.4403030843914234
L0_D3.6_U280,r0/t3.6/t3.6_280.cif,0.0,3.5999999046325684,280.0,-936.432373046875,0.2074500024318695,0.34665332956275585,-2.6416309448796236
L0_D3.6_U300,r0/t3.6/t3.6_300.cif,0.0,3.5999999046325684,300.0,-936.3841552734375,0.25562000274658203,3.3670951766477453,-2.1531187722117027
L0_D3.6_U320,r0/t3.6/t3.6_320.cif,0.0,3.5999999046325684,320.0,-936.5734252929688,0.06634999811649323,3.146653132960325,-2.7455547507019062
L0_D3.6_U340,r0/t3.6/t3.6_340.cif,0.0,3.5999999046325684,340.0,-936.5167236328125,0.12306000292301178,1.4565872013730774,-3.637703841265001
L0_D3.6_U40,r0/t3.6/t3.6_40.cif,0.0,3.5999999046325684,40.0,-936.033203125,0.6065700054168701,-0.0729008601793959,3.4474673687499697
L0_D3.6_U60,r0/t3.6/t3.6_60.cif,0.0,3.5999999046325684,60.0,-936.186767578125,0.4530099928379059,-2.1635046130095787,1.5944575726325623
L0_D3.6_U80,r0/t3.6/t3.6_80.cif,0.0,3.5999999046325684,80.0,-936.34375,0.29603999853134155,-1.2232268898792718,-0.38217146012107395
L0_D4.8_U0,r0/t4.8/t4.8_0.cif,0.0,4.800000190734863,0.0,-936.74560546875,-0.10578999668359756,2.321835982095444,-2.1045221971810584
L0_D4.8_U100,r0/t4.8/t4.8_100.cif,0.0,4.800000190734863,100.0,-936.76953125,-0.12972000241279602,5.591634090396746,-1.831646689649076
L0_D4.8_U120,r0/t4.8/t4.8_120.cif,0.0,4.800000190734863,120.0,-936.642333984375,-0.0025400000158697367,3.2332637392337533,-1.7300521042854637
L0_D4.8_U140,r0/t4.8/t4.8_140.cif,0.0,4.800000190734863,140.0,-936.3843383789062,0.25547999143600464,-0.7443823119233037,-4.139310806162561
L0_D4.8_U160,r0/t4.8/t4.8_160.cif,0.0,4.800000190734863,160.0,-936.0925903320312,0.5471900105476379,-2.9878712881704628,-1.0612019553256804
L0_D4.8_U180,r0/t4.8/t4.8_180.cif,0.0,4.800000190734863,180.0,-936.1724853515625,0.4672999978065491,-0.7584752221496673,1.5873338979408895
L0_D4.8_U20,r0/t4.8/t4.8_20.cif,0.0,4.800000190734863,20.0,-936.0970458984375,0.5427299737930298,-0.9810369769226116,1.0431896183086937
L0_D4.8_U200,r0/t4.8/t4.8_200.cif,0.0,4.800000190734863,200.0,-936.2677612304688,0.3720499873161316,-2.2697513866290597,1.4123540945686914
L0_D4.8_U220,r0/t4.8/t4.8_220.cif,0.0,4.800000190734863,220.0,-936.6276245117188,0.012179999612271786,-1.1845187570368925,-0.9639793459267452
L0_D4.8_U240,r0/t4.8/t4.8_240.cif,0.0,4.800000190734863,240.0,-936.5643920898438,0.07539000362157822,-1.3661043379214426,-0.01836173417989001
L0_D4.8_U260,r0/t4.8/t4.8_260.cif,0.0,4.800000190734863,260.0,-936.5114135742188,0.128370001912117,0.13832196611240377,-0.16161599283735884
L0_D4.8_U280,r0/t4.8/t4.8_280.cif,0.0,4.800000190734863,280.0,-936.4553833007812,0.1844400018453598,0.03579995018512583,-2.4997657391720276
L0_D4.8_U300,r0/t4.8/t4.8_300.cif,0.0,4.800000190734863,300.0,-936.4236450195312,0.21616999804973602,2.3872410862049005,-2.79230585985421
L0_D4.8_U320,r0/t4.8/t4.8_320.cif,0.0,4.800000190734863,320.0,-936.7175903320312,-0.07777000218629837,3.443294495666244,-2.8502487263088216
L0_D4.8_U340,r0/t4.8/t4.8_340.cif,0.0,4.800000190734863,340.0,-936.5380249023438,0.10176999866962433,1.3669950624703244,-3.439780007068542
