structure_id,relative_cif_path,cluster_label,energy,delta_energy,lower_rotation,displacement,upper_rotation
L120_D7.2_U280,r120/t7.2/t7.2_280.cif,0,-936.2933349609376,0.3464699983596802,120.0,7.199999809265137,280.0
L140_D4.8_U60,r140/t4.8/t4.8_60.cif,0,-936.2894287109376,0.3503899872303009,140.0,4.800000190734863,60.0
L120_D3.6_U280,r120/t3.6/t3.6_280.cif,0,-936.2799682617188,0.3598099946975708,120.0,3.5999999046325684,280.0
L140_D0_U280,r140/t0/t0_280.cif,0,-936.2654418945312,0.3743399977684021,140.0,0.0,280.0
L120_D1.2_U280,r120/t1.2/t1.2_280.cif,0,-936.2654418945312,0.3743799924850464,120.0,1.2000000476837158,280.0
L140_D1.2_U280,r140/t1.2/t1.2_280.cif,0,-936.2623901367188,0.3773800134658813,140.0,1.2000000476837158,280.0
L140_D7.2_U80,r140/t7.2/t7.2_80.cif,0,-936.2571411132812,0.3826299905776977,140.0,7.199999809265137,80.0
L120_D1.2_U60,r120/t1.2/t1.2_60.cif,0,-936.2532958984376,0.386489987373352,120.0,1.2000000476837158,60.0
L140_D7.2_U60,r140/t7.2/t7.2_60.cif,0,-936.2493286132812,0.3904800117015838,140.0,7.199999809265137,60.0
L140_D2.4_U280,r140/t2.4/t2.4_280.cif,0,-936.23291015625,0.4069199860095978,140.0,2.400000095367432,280.0
L140_D1.2_U60,r140/t1.2/t1.2_60.cif,0,-936.226318359375,0.4135000109672546,140.0,1.2000000476837158,60.0
L120_D0_U280,r120/t0/t0_280.cif,0,-936.2208251953124,0.4189800024032593,120.0,0.0,280.0
L140_D3.6_U280,r140/t3.6/t3.6_280.cif,0,-936.2186889648438,0.4211199879646301,140.0,3.5999999046325684,280.0
L140_D6_U280,r140/t6.0/t6.0_280.cif,0,-936.2183837890624,0.4214400053024292,140.0,6.0,280.0
L140_D8.4_U280,r140/t8.4/t8.4_280.cif,0,-936.2166748046876,0.4231300055980682,140.0,8.399999618530273,280.0
L140_D4.8_U280,r140/t4.8/t4.8_280.cif,0,-936.2105712890624,0.4292199909687042,140.0,4.800000190734863,280.0
L120_D2.4_U60,r120/t2.4/t2.4_60.cif,0,-936.2047119140624,0.4350900053977966,120.0,2.400000095367432,60.0
L120_D0_U60,r120/t0/t0_60.cif,0,-936.1889038085938,0.4508799910545349,120.0,0.0,60.0
L140_D1.2_U80,r140/t1.2/t1.2_80.cif,0,-936.1879272460938,0.451880007982254,140.0,1.2000000476837158,80.0
L120_D4.8_U80,r120/t4.8/t4.8_80.cif,0,-936.1779174804688,0.4619100093841553,120.0,4.800000190734863,80.0
L140_D7.2_U280,r140/t7.2/t7.2_280.cif,0,-936.1734619140624,0.4663499891757965,140.0,7.199999809265137,280.0
L120_D6_U80,r120/t6.0/t6.0_80.cif,0,-936.1723022460938,0.467519998550415,120.0,6.0,80.0
L120_D2.4_U80,r120/t2.4/t2.4_80.cif,0,-936.1604614257812,0.4793300032615661,120.0,2.400000095367432,80.0
L120_D7.2_U80,r120/t7.2/t7.2_80.cif,0,-936.130859375,0.5089200139045715,120.0,7.199999809265137,80.0
L120_D1.2_U80,r120/t1.2/t1.2_80.cif,0,-936.1129760742188,0.5268099904060364,120.0,1.2000000476837158,80.0
L120_D9.6_U80,r120/t9.6/t9.6_80.cif,0,-936.0897827148438,0.5500100255012512,120.0,9.600000381469728,80.0
L120_D8.4_U80,r120/t8.4/t8.4_80.cif,0,-936.08251953125,0.5572699904441833,120.0,8.399999618530273,80.0
L140_D0_U80,r140/t0/t0_80.cif,0,-936.0777587890624,0.5620599985122681,140.0,0.0,80.0
L140_D9.6_U80,r140/t9.6/t9.6_80.cif,0,-936.0772705078124,0.562529981136322,140.0,9.600000381469728,80.0
L140_D8.4_U80,r140/t8.4/t8.4_80.cif,0,-936.0745239257812,0.5652599930763245,140.0,8.399999618530273,80.0
L120_D0_U80,r120/t0/t0_80.cif,0,-936.0455932617188,0.5941900014877319,120.0,0.0,80.0
L240_D8.4_U260,r240/t8.4/t8.4_260.cif,1,-936.6397705078124,0.0,240.0,8.399999618530273,260.0
L240_D8.4_U300,r240/t8.4/t8.4_300.cif,1,-936.6397705078124,0.0,240.0,8.399999618530273,300.0
L240_D8.4_U320,r240/t8.4/t8.4_320.cif,1,-936.6397705078124,0.0,240.0,8.399999618530273,320.0
L240_D9.6_U320,r240/t9.6/t9.6_320.cif,1,-936.2808837890624,0.3589400053024292,240.0,9.600000381469728,320.0
L240_D6_U120,r240/t6.0/t6.0_120.cif,1,-936.2683715820312,0.3714199960231781,240.0,6.0,120.0
L240_D7.2_U120,r240/t7.2/t7.2_120.cif,1,-936.265380859375,0.3743999898433685,240.0,7.199999809265137,120.0
L240_D8.4_U100,r240/t8.4/t8.4_100.cif,1,-936.2599487304688,0.3798600137233734,240.0,8.399999618530273,100.0
L240_D6_U320,r240/t6.0/t6.0_320.cif,1,-936.2567749023438,0.3830400109291076,240.0,6.0,320.0
L240_D6_U340,r240/t6.0/t6.0_340.cif,1,-936.2442626953124,0.3955399990081787,240.0,6.0,340.0
L240_D1.2_U120,r240/t1.2/t1.2_120.cif,1,-936.234619140625,0.4051699936389923,240.0,1.2000000476837158,120.0
L240_D2.4_U320,r240/t2.4/t2.4_320.cif,1,-936.2329711914062,0.406819999217987,240.0,2.400000095367432,320.0
L240_D0_U100,r240/t0/t0_100.cif,1,-936.2305297851562,0.4092699885368347,240.0,0.0,100.0
