query_structure_id,neighbor_structure_id,rank,similarity_score,distance_metric
L0_D1.2_U160,L0_D9.6_U160,8,0.8936175515942678,cosine
L0_D1.2_U160,L340_D2.4_U160,9,0.89186316216879,cosine
L0_D1.2_U160,L0_D6_U160,10,0.8831292417365048,cosine
L0_D1.2_U180,L0_D0_U180,1,0.9745997935844063,cosine
L0_D1.2_U180,L0_D2.4_U180,2,0.9669220923918083,cosine
L0_D1.2_U180,L0_D7.2_U180,3,0.936916718673916,cosine
L0_D1.2_U180,L0_D8.4_U180,4,0.9363404295681543,cosine
L0_D1.2_U180,L0_D9.6_U180,5,0.9305689190838922,cosine
L0_D1.2_U180,L0_D6_U180,6,0.9266590212543959,cosine
L0_D1.2_U180,L0_D4.8_U180,7,0.9091283923349905,cosine
L0_D1.2_U180,L340_D4.8_U180,8,0.9084339305184524,cosine
L0_D1.2_U180,L340_D2.4_U180,9,0.8890573286589069,cosine
L0_D1.2_U180,L340_D0_U180,10,0.8838112387959791,cosine
L0_D1.2_U20,L0_D2.4_U20,1,0.9743987459473692,cosine
L0_D1.2_U20,L0_D4.8_U20,2,0.9492249799049529,cosine
L0_D1.2_U20,L0_D3.6_U20,3,0.9420587081962577,cosine
L0_D1.2_U20,L340_D1.2_U20,4,0.898614337900462,cosine
L0_D1.2_U20,L340_D2.4_U20,5,0.8808819120128031,cosine
L0_D1.2_U20,L20_D1.2_U20,6,0.8635101843591823,cosine
L0_D1.2_U20,L340_D0_U20,7,0.8610086529868883,cosine
L0_D1.2_U20,L20_D2.4_U20,8,0.8609403088664851,cosine
L0_D1.2_U20,L340_D4.8_U20,9,0.8533350604413288,cosine
L0_D1.2_U20,L0_D6_U20,10,0.849427229416192,cosine
L0_D1.2_U200,L0_D2.4_U200,1,0.9724490966160659,cosine
L0_D1.2_U200,L0_D0_U200,2,0.9514486142029999,cosine
L0_D1.2_U200,L0_D4.8_U200,3,0.8945497575628811,cosine
L0_D1.2_U200,L0_D7.2_U200,4,0.8904987050940619,cosine
