,file_id,r_bottom,displacement,r_upper,energy_values_experimental,adjusted_energy
2490,r40_t3.6_t3.6_200_transformed.cif,40,3.6,200,-936.03745,0.6023500000000013
2491,r40_t3.6_t3.6_20_transformed.cif,40,3.6,20,-936.06907,0.5707300000000259
2492,r40_t3.6_t3.6_220_transformed.cif,40,3.6,220,-936.06856,0.5712399999999889
2493,r40_t3.6_t3.6_240_transformed.cif,40,3.6,240,-936.21371,0.4260900000000447
2494,r40_t3.6_t3.6_260_transformed.cif,40,3.6,260,-936.23326,0.4065400000000636
2495,r40_t3.6_t3.6_280_transformed.cif,40,3.6,280,-936.17967,0.4601300000000492
2496,r40_t3.6_t3.6_300_transformed.cif,40,3.6,300,-936.22428,0.415520000000015
2497,r40_t3.6_t3.6_320_transformed.cif,40,3.6,320,-936.27333,0.3664700000000493
2498,r40_t3.6_t3.6_340_transformed.cif,40,3.6,340,-936.0836,0.5561999999999898
2499,r40_t3.6_t3.6_40_transformed.cif,40,3.6,40,-936.08326,0.5565400000000409
2500,r40_t3.6_t3.6_60_transformed.cif,40,3.6,60,-936.15795,0.4818500000000085
2501,r40_t3.6_t3.6_80_transformed.cif,40,3.6,80,-936.22077,0.4190300000000206
2502,r40_t4.8_t4.8_0_transformed.cif,40,4.8,0,-936.131,0.5088000000000648
2503,r40_t4.8_t4.8_100_transformed.cif,40,4.8,100,-936.23059,0.40921000000003
2504,r40_t4.8_t4.8_120_transformed.cif,40,4.8,120,-936.36823,0.271569999999997
2505,r40_t4.8_t4.8_140_transformed.cif,40,4.8,140,-936.21039,0.4294100000000753
2506,r40_t4.8_t4.8_160_transformed.cif,40,4.8,160,-936.10806,0.5317400000000134
2507,r40_t4.8_t4.8_180_transformed.cif,40,4.8,180,-936.03049,0.6093100000000504
2508,r40_t4.8_t4.8_200_transformed.cif,40,4.8,200,-935.99594,0.6438600000000179
2509,r40_t4.8_t4.8_20_transformed.cif,40,4.8,20,-936.09449,0.5453100000000859
2510,r40_t4.8_t4.8_220_transformed.cif,40,4.8,220,-936.04902,0.5907799999999952
2511,r40_t4.8_t4.8_240_transformed.cif,40,4.8,240,-936.16076,0.4790400000000545
2512,r40_t4.8_t4.8_260_transformed.cif,40,4.8,260,-936.21625,0.4235500000000911
2513,r40_t4.8_t4.8_280_transformed.cif,40,4.8,280,-936.18113,0.4586699999999837
2514,r40_t4.8_t4.8_300_transformed.cif,40,4.8,300,-936.29654,0.3432599999999866
2515,r40_t4.8_t4.8_320_transformed.cif,40,4.8,320,-936.31502,0.3247800000000325
2516,r40_t4.8_t4.8_340_transformed.cif,40,4.8,340,-936.23951,0.4002900000000409
2517,r40_t4.8_t4.8_40_transformed.cif,40,4.8,40,-936.07405,0.56574999999998
2518,r40_t4.8_t4.8_60_transformed.cif,40,4.8,60,-936.15095,0.4888500000000704
2519,r40_t4.8_t4.8_80_transformed.cif,40,4.8,80,-936.13033,0.5094700000000785
2520,r40_t6.0_t6.0_0_transformed.cif,40,6.0,0,-936.14956,0.4902400000000853
2521,r40_t6.0_t6.0_100_transformed.cif,40,6.0,100,-936.17743,0.4623700000000781
2522,r40_t6.0_t6.0_120_transformed.cif,40,6.0,120,-936.34982,0.2899800000000141
2523,r40_t6.0_t6.0_140_transformed.cif,40,6.0,140,-936.19872,0.4410800000000563
2524,r40_t6.0_t6.0_160_transformed.cif,40,6.0,160,-936.09745,0.5423500000000558
2525,r40_t6.0_t6.0_180_transformed.cif,40,6.0,180,-936.02406,0.6157400000000735
2526,r40_t6.0_t6.0_200_transformed.cif,40,6.0,200,-935.99842,0.6413800000000265
2527,r40_t6.0_t6.0_20_transformed.cif,40,6.0,20,-936.07242,0.567380000000071
2528,r40_t6.0_t6.0_220_transformed.cif,40,6.0,220,-936.07509,0.5647099999999909
2529,r40_t6.0_t6.0_240_transformed.cif,40,6.0,240,-936.1383,0.5015000000000782
2530,r40_t6.0_t6.0_260_transformed.cif,40,6.0,260,-936.20031,0.4394900000000916
2531,r40_t6.0_t6.0_280_transformed.cif,40,6.0,280,-936.16447,0.4753299999999854
2532,r40_t6.0_t6.0_300_transformed.cif,40,6.0,300,-936.27766,0.3621400000000676
2533,r40_t6.0_t6.0_320_transformed.cif,40,6.0,320,-936.32448,0.3153200000000424
2534,r40_t6.0_t6.0_340_transformed.cif,40,6.0,340,-936.25289,0.3869100000000571
2535,r40_t6.0_t6.0_40_transformed.cif,40,6.0,40,-936.05781,0.5819900000000189
2536,r40_t6.0_t6.0_60_transformed.cif,40,6.0,60,-936.14861,0.4911900000000742
2537,r40_t6.0_t6.0_80_transformed.cif,40,6.0,80,-936.06256,0.5772400000000744
