structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,pca_1,pca_2,umap_1,umap_2,tsne_1,tsne_2
L320_D1.2_U100,r320/t1.2/t1.2_100.cif,320.0,1.2000000476837158,100.0,-936.3321533203124,0.3076199889183044,5.774379647892081,-2.9913472980483453,10.80617,-8.347089,33.643055,-5.8927665
L320_D1.2_U120,r320/t1.2/t1.2_120.cif,320.0,1.2000000476837158,120.0,-936.2227783203124,0.41703000664711,4.371922688740807,-4.3126343658134845,11.14684,-7.7174935,29.982222,-13.775688
L320_D1.2_U140,r320/t1.2/t1.2_140.cif,320.0,1.2000000476837158,140.0,-936.1683349609376,0.4714399874210357,2.88679491965758,-5.53912914332998,12.582352,-6.9821324,25.869122,-15.758342
L320_D1.2_U160,r320/t1.2/t1.2_160.cif,320.0,1.2000000476837158,160.0,-936.1416015625,0.4981899857521057,-0.649508205345557,-3.058687871284767,14.150079,-7.246136,-17.338764,-1.9563843
L320_D1.2_U180,r320/t1.2/t1.2_180.cif,320.0,1.2000000476837158,180.0,-936.351318359375,0.2884700000286102,0.2491663119488362,-1.6864677737313871,14.189554,-7.520033,-14.865461,-0.50589937
L320_D1.2_U20,r320/t1.2/t1.2_20.cif,320.0,1.2000000476837158,20.0,-936.0845947265624,0.5552300214767456,-1.0512026987866605,-2.214486062422217,15.332067,-7.5748615,-22.113586,3.1271508
L320_D1.2_U200,r320/t1.2/t1.2_200.cif,320.0,1.2000000476837158,200.0,-936.6012573242188,0.0385399982333183,3.437326385043215,-0.7501875405267397,10.280489,-7.0648723,41.67248,-15.345819
L320_D1.2_U220,r320/t1.2/t1.2_220.cif,320.0,1.2000000476837158,220.0,-936.8009033203124,-0.161080002784729,6.213667004074872,3.0925592933942285,10.028924,-6.9828506,44.470654,-15.335462
L320_D1.2_U240,r320/t1.2/t1.2_240.cif,320.0,1.2000000476837158,240.0,-936.767578125,-0.1277700066566467,6.3444379230838415,6.763700749551629,9.392696,-6.650605,49.022472,-21.43611
L320_D1.2_U260,r320/t1.2/t1.2_260.cif,320.0,1.2000000476837158,260.0,-936.4249267578124,0.2148900032043457,5.311396863492067,3.612169472199827,10.988643,-8.89502,43.27523,-3.3749588
L320_D1.2_U280,r320/t1.2/t1.2_280.cif,320.0,1.2000000476837158,280.0,-936.5697021484376,0.0701199993491172,7.045941732731699,0.15644533453559803,9.861032,-9.145534,33.16817,2.4334157
L320_D1.2_U300,r320/t1.2/t1.2_300.cif,320.0,1.2000000476837158,300.0,-936.538330078125,0.101450003683567,6.061588368151407,-3.679826870843715,10.922036,-8.100038,32.159126,-7.324108
L320_D1.2_U320,r320/t1.2/t1.2_320.cif,320.0,1.2000000476837158,320.0,-936.45703125,0.182789996266365,2.6204320083342454,-6.898445833066654,11.771295,-7.2075334,21.015215,-16.202139
L320_D1.2_U340,r320/t1.2/t1.2_340.cif,320.0,1.2000000476837158,340.0,-936.3864135742188,0.2533900141716003,1.2447554492548558,-5.616738710056892,12.265457,-6.994304,19.676897,-17.354914
L320_D1.2_U40,r320/t1.2/t1.2_40.cif,320.0,1.2000000476837158,40.0,-936.0260009765624,0.6138200163841248,-0.0855205909139682,-1.7713968635238915,15.985009,-8.067585,-22.883114,5.2724223
L320_D1.2_U60,r320/t1.2/t1.2_60.cif,320.0,1.2000000476837158,60.0,-936.200439453125,0.4393799901008606,2.9115688888760833,-2.5077604420435176,9.842264,-9.159296,33.0214,0.053170707
L320_D1.2_U80,r320/t1.2/t1.2_80.cif,320.0,1.2000000476837158,80.0,-936.3651123046876,0.2746700048446655,5.751950920167978,-1.0590883340376804,9.962571,-9.023469,34.34587,1.0697807
L320_D2.4_U0,r320/t2.4/t2.4_0.cif,320.0,2.400000095367432,0.0,-936.2305908203124,0.4092299938201904,-1.540606003956869,-2.3456432284946724,14.621205,-7.3549237,-19.388851,0.9266077
L320_D2.4_U100,r320/t2.4/t2.4_100.cif,320.0,2.400000095367432,100.0,-936.3512573242188,0.2885699868202209,5.8675538612040565,-1.9913343173048117,10.6443815,-8.478731,34.03762,-5.545342
L320_D2.4_U120,r320/t2.4/t2.4_120.cif,320.0,2.400000095367432,120.0,-936.29248046875,0.3473399877548218,4.550198621769604,-3.6973506361991575,11.109398,-7.7168083,29.91573,-14.1264
L320_D2.4_U140,r320/t2.4/t2.4_140.cif,320.0,2.400000095367432,140.0,-936.2725830078124,0.367220014333725,4.036173360200104,-5.172489496371498,11.268472,-7.4875736,26.373201,-16.18184
L320_D2.4_U160,r320/t2.4/t2.4_160.cif,320.0,2.400000095367432,160.0,-936.1881713867188,0.4516499936580658,-2.799763253112259,-1.1402944389850627,13.282216,-5.0511928,-18.771612,-2.4863865
L320_D2.4_U180,r320/t2.4/t2.4_180.cif,320.0,2.400000095367432,180.0,-936.538818359375,0.1009899973869323,0.5628922029260647,-1.7628034167357025,14.047996,-7.453423,-14.729805,-0.4574865
L320_D2.4_U20,r320/t2.4/t2.4_20.cif,320.0,2.400000095367432,20.0,-936.1868286132812,0.4529500007629394,-1.1034739432299638,-1.785049659973198,15.445209,-7.691538,-22.050266,3.6228688
L320_D2.4_U200,r320/t2.4/t2.4_200.cif,320.0,2.400000095367432,200.0,-936.7578735351562,-0.1180799975991249,3.7323471961068764,-0.6555533564197507,10.308845,-7.0341682,41.76441,-15.374191
L320_D2.4_U220,r320/t2.4/t2.4_220.cif,320.0,2.400000095367432,220.0,-936.9257202148438,-0.2858999967575073,6.0693139141048285,2.7127819801974598,10.012937,-6.955443,44.1277,-15.491327
L320_D2.4_U240,r320/t2.4/t2.4_240.cif,320.0,2.400000095367432,240.0,-936.2647094726562,0.3750999867916107,4.250838303540253,-5.043018597671872,11.380535,-7.4803743,26.410347,-16.181313
L320_D2.4_U260,r320/t2.4/t2.4_260.cif,320.0,2.400000095367432,260.0,-936.275146484375,0.364650011062622,5.169772533367708,1.9788635630851885,11.033145,-8.834483,42.33635,-3.8925889
L320_D2.4_U280,r320/t2.4/t2.4_280.cif,320.0,2.400000095367432,280.0,-936.2628784179688,0.3769499957561493,6.679100790155637,-2.1811368540833493,9.9006405,-9.033674,34.441265,0.68624574
L320_D2.4_U300,r320/t2.4/t2.4_300.cif,320.0,2.400000095367432,300.0,-936.4014892578124,0.2383400052785873,5.607736379075622,-3.6790124824452897,10.992321,-8.200826,31.929016,-7.2076178
L320_D2.4_U320,r320/t2.4/t2.4_320.cif,320.0,2.400000095367432,320.0,-936.3289184570312,0.3108899891376495,1.5505034072902848,-6.74012972410868,11.952557,-7.2296534,20.816088,-15.953789
