structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation
L20_D9.6_U160,r20/t9.6/t9.6_160.cif,20.0,9.6,160.0
L20_D9.6_U180,r20/t9.6/t9.6_180.cif,20.0,9.6,180.0
L20_D9.6_U200,r20/t9.6/t9.6_200.cif,20.0,9.6,200.0
L20_D9.6_U220,r20/t9.6/t9.6_220.cif,20.0,9.6,220.0
L20_D9.6_U240,r20/t9.6/t9.6_240.cif,20.0,9.6,240.0
L20_D9.6_U260,r20/t9.6/t9.6_260.cif,20.0,9.6,260.0
L20_D9.6_U280,r20/t9.6/t9.6_280.cif,20.0,9.6,280.0
L20_D9.6_U300,r20/t9.6/t9.6_300.cif,20.0,9.6,300.0
L20_D9.6_U320,r20/t9.6/t9.6_320.cif,20.0,9.6,320.0
L20_D9.6_U340,r20/t9.6/t9.6_340.cif,20.0,9.6,340.0
L40_D0_U0,r40/t0/t0_0.cif,40.0,0.0,0.0
L40_D0_U20,r40/t0/t0_20.cif,40.0,0.0,20.0
L40_D0_U40,r40/t0/t0_40.cif,40.0,0.0,40.0
L40_D0_U60,r40/t0/t0_60.cif,40.0,0.0,60.0
L40_D0_U80,r40/t0/t0_80.cif,40.0,0.0,80.0
L40_D0_U100,r40/t0/t0_100.cif,40.0,0.0,100.0
L40_D0_U120,r40/t0/t0_120.cif,40.0,0.0,120.0
L40_D0_U140,r40/t0/t0_140.cif,40.0,0.0,140.0
L40_D0_U160,r40/t0/t0_160.cif,40.0,0.0,160.0
L40_D0_U180,r40/t0/t0_180.cif,40.0,0.0,180.0
L40_D0_U200,r40/t0/t0_200.cif,40.0,0.0,200.0
L40_D0_U220,r40/t0/t0_220.cif,40.0,0.0,220.0
L40_D0_U240,r40/t0/t0_240.cif,40.0,0.0,240.0
L40_D0_U260,r40/t0/t0_260.cif,40.0,0.0,260.0
L40_D0_U280,r40/t0/t0_280.cif,40.0,0.0,280.0
L40_D0_U300,r40/t0/t0_300.cif,40.0,0.0,300.0
L40_D0_U320,r40/t0/t0_320.cif,40.0,0.0,320.0
L40_D0_U340,r40/t0/t0_340.cif,40.0,0.0,340.0
L40_D1.2_U0,r40/t1.2/t1.2_0.cif,40.0,1.2,0.0
L40_D1.2_U20,r40/t1.2/t1.2_20.cif,40.0,1.2,20.0
L40_D1.2_U40,r40/t1.2/t1.2_40.cif,40.0,1.2,40.0
L40_D1.2_U60,r40/t1.2/t1.2_60.cif,40.0,1.2,60.0
L40_D1.2_U80,r40/t1.2/t1.2_80.cif,40.0,1.2,80.0
L40_D1.2_U100,r40/t1.2/t1.2_100.cif,40.0,1.2,100.0
