structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy
L20_D0_U100,r20/t0/t0_100.cif,20.0,0.0,100.0,-936.11447,0.5253300000000536
L20_D0_U120,r20/t0/t0_120.cif,20.0,0.0,120.0,-936.20358,0.43622000000004846
L20_D0_U140,r20/t0/t0_140.cif,20.0,0.0,140.0,-936.16355,0.47625000000005
L20_D0_U160,r20/t0/t0_160.cif,20.0,0.0,160.0,-936.13004,0.5097600000000284
L20_D0_U180,r20/t0/t0_180.cif,20.0,0.0,180.0,-936.17167,0.4681300000000874
L20_D0_U200,r20/t0/t0_200.cif,20.0,0.0,200.0,-936.07071,0.5690900000000738
L20_D0_U220,r20/t0/t0_220.cif,20.0,0.0,220.0,-936.05307,0.5867299999999886
L20_D0_U240,r20/t0/t0_240.cif,20.0,0.0,240.0,-936.1102,0.5296000000000731
L20_D0_U260,r20/t0/t0_260.cif,20.0,0.0,260.0,-936.23348,0.40632000000005064
L20_D0_U280,r20/t0/t0_280.cif,20.0,0.0,280.0,-936.17657,0.46323000000006687
L20_D0_U300,r20/t0/t0_300.cif,20.0,0.0,300.0,-936.25095,0.38885000000004766
L20_D0_U320,r20/t0/t0_320.cif,20.0,0.0,320.0,-936.3735,0.2663000000000011
L20_D0_U340,r20/t0/t0_340.cif,20.0,0.0,340.0,-936.44113,0.1986699999999928
L20_D1.2_U0,r20/t1.2/t1.2_0.cif,20.0,1.2,0.0,-936.27204,0.36776000000008935
L20_D1.2_U20,r20/t1.2/t1.2_20.cif,20.0,1.2,20.0,-936.1728,0.46699999999998454
L20_D1.2_U40,r20/t1.2/t1.2_40.cif,20.0,1.2,40.0,-936.17501,0.4647899999999936
L20_D1.2_U60,r20/t1.2/t1.2_60.cif,20.0,1.2,60.0,-936.20038,0.439420000000041
L20_D1.2_U80,r20/t1.2/t1.2_80.cif,20.0,1.2,80.0,-936.22138,0.41842000000008284
L20_D1.2_U100,r20/t1.2/t1.2_100.cif,20.0,1.2,100.0,-936.14444,0.49536000000000513
L20_D1.2_U120,r20/t1.2/t1.2_120.cif,20.0,1.2,120.0,-936.26134,0.3784600000000182
L20_D1.2_U140,r20/t1.2/t1.2_140.cif,20.0,1.2,140.0,-936.31166,0.3281400000000758
L20_D1.2_U160,r20/t1.2/t1.2_160.cif,20.0,1.2,160.0,-936.18078,0.45902000000000953
